UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,ZIP,ACCREDAGENCY,INSTURL,NPCURL,SCH_DEG,HCM2,MAIN,NUMBRANCH,PREDDEG,HIGHDEG,CONTROL,ST_FIPS,REGION,LOCALE,LOCALE2,LATITUDE,LONGITUDE,CCBASIC,CCUGPROF,CCSIZSET,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,ADM_RATE,ADM_RATE_ALL,SATVR25
100654,00100200,001002,Alabama A & M University,Normal,AL,35762,NULL,NULL,NULL,3,NULL,1,1,3,4,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.4751,0.4751,NULL
100663,00105200,001052,University of Alabama at Birmingham,Birmingham,AL,35294-0110,NULL,NULL,NULL,3,NULL,1,1,3,4,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8592,0.8592,480
100690,02503400,025034,Amridge University,Montgomery,AL,36117-3553,NULL,NULL,NULL,3,NULL,1,1,3,4,2,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100706,00105500,001055,University of Alabama in Huntsville,Huntsville,AL,35899,NULL,NULL,NULL,3,NULL,1,1,3,4,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8944,0.8944,520
100724,00100500,001005,Alabama State University,Montgomery,AL,36104-0271,NULL,NULL,NULL,3,NULL,1,1,3,4,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.5042,0.5042,350
100751,00105100,001051,The University of Alabama,Tuscaloosa,AL,35487-0166,NULL,NULL,NULL,3,NULL,1,1,3,4,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.771,0.771,490
100760,00100700,001007,Central Alabama Community College,Alexander City,AL,35010,NULL,NULL,NULL,2,NULL,1,1,2,2,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100812,00100800,001008,Athens State University,Athens,AL,35611,NULL,NULL,NULL,3,NULL,1,1,3,3,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100830,00831000,008310,Auburn University at Montgomery,Montgomery,AL,36117-3596,NULL,NULL,NULL,3,NULL,1,1,3,4,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.9801,0.9801,NULL
100858,00100900,001009,Auburn University,Auburn,AL,36849,NULL,NULL,NULL,3,NULL,1,1,3,4,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8417,0.8417,500
100919,00570400,005704,Lawson State Community College-Bessemer Campus,Bessemer,AL,35022,NULL,NULL,NULL,2,NULL,1,1,1,2,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100937,00101200,001012,Birmingham Southern College,Birmingham,AL,35254,NULL,NULL,NULL,3,NULL,1,1,3,4,2,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.8263,0.8263,550
100973,00569101,005691,Shelton State Community College-C A Fredd Campus,Tuscaloosa,AL,35401,NULL,NULL,NULL,2,NULL,0,2,1,2,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101028,01218200,012182,Chattahoochee Valley Community College,Phenix City,AL,36869,NULL,NULL,NULL,2,NULL,1,1,2,2,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101073,01055400,010554,Concordia College Alabama,Selma,AL,36701,NULL,NULL,NULL,3,NULL,1,1,2,3,2,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101116,01303906,013039,South University-Montgomery,Montgomery,AL,36116,NULL,NULL,NULL,3,NULL,0,4,2,3,3,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,0.7782,NULL
101143,00101500,001015,Enterprise State Community College,Enterprise,AL,36330-1300,NULL,NULL,NULL,2,NULL,1,1,2,2,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101161,00106000,001060,Coastal Alabama Community College,Bay Minette,AL,36507-2698,NULL,NULL,NULL,2,NULL,1,1,2,2,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101189,00100300,001003,Faulkner University,Montgomery,AL,36109-3390,NULL,NULL,NULL,3,NULL,1,4,3,4,2,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.6175,0.6175,460
101231,00446200,004462,Gadsden Business College,Rainbow City,AL,35906,NULL,NULL,NULL,1,NULL,1,2,1,1,3,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101240,00101700,001017,Gadsden State Community College,Gadsden,AL,35903,NULL,NULL,NULL,2,NULL,1,1,2,2,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
101286,00101800,001018,George C Wallace Community College-Dothan,Dothan,AL,36303-9234,NULL,NULL,NULL,2,NULL,1,1,2,2,1,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
